clr,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13
O1,-0.5,-0.558823529,-0.691176471,-0.5,0.485294118,0.235294118,-0.308823529,-0.308823529,0,0.485294118,-0.691176471,0,-0.235294118
C3,0.485294118,-0.558823529,-0.764705882,-0.5,0.485294118,0.235294118,-0.308823529,-0.308823529,-0.367647059,0.485294118,-0.691176471,0.485294118,-0.367647059
C1,0.485294118,-1,-0.691176471,-0.367647059,0.485294118,-0.617647059,-1,-1,-0.338235294,0.485294118,-0.691176471,0.485294118,-0.367647059
C2,0.485294118,-1,-0.691176471,-0.5,0.485294118,0.235294118,-0.308823529,-1,-0.338235294,0.485294118,-0.691176471,0.485294118,-0.235294118
C4,-0.5,-0.558823529,-0.764705882,-0.5,0.485294118,0.235294118,-0.308823529,-1,-0.367647059,-0.764705882,0.235294118,-0.764705882,-0.764705882
C5,-0.897058824,-0.558823529,-0.764705882,-0.5,-0.235294118,0,-1,-1,-0.367647059,-0.764705882,-0.691176471,-0.764705882,-0.764705882
C19,0.485294118,-0.897058824,-0.764705882,-0.367647059,-0.897058824,-0.617647059,-0.764705882,-1,-0.338235294,-0.691176471,-0.691176471,0.485294118,-0.235294118
C10,-0.897058824,-0.897058824,-0.764705882,-0.367647059,0.485294118,-0.617647059,-1,-1,-0.338235294,-0.691176471,-0.691176471,0.485294118,-0.367647059
C6,-0.338235294,-0.558823529,-0.897058824,-0.5,-0.235294118,0,-1,-1,-0.367647059,-0.897058824,0.235294118,-0.764705882,-0.764705882
C7,-0.338235294,-1,-0.897058824,-0.558823529,-0.897058824,0,-1,-1,-0.367647059,-0.691176471,0.235294118,-0.764705882,-0.367647059
C8,-0.897058824,-0.897058824,-0.897058824,-0.558823529,-0.5,0,-1,-1,-0.367647059,-0.691176471,-0.691176471,-0.764705882,-0.367647059
C9,-0.897058824,-0.897058824,-0.764705882,-0.558823529,-0.5,-0.617647059,-1,-1,-0.338235294,-0.691176471,-0.691176471,0.485294118,-0.367647059
C11,-0.897058824,-0.897058824,-0.764705882,-0.764705882,-0.5,-1,-0.897058824,-1,-0.338235294,-0.691176471,-0.691176471,0.485294118,-0.367647059
C12,-0.764705882,-0.897058824,-0.764705882,-0.897058824,0,-1,-0.897058824,-0.308823529,-0.691176471,0,-0.691176471,0.485294118,-0.367647059
C13,-0.367647059,-0.897058824,-0.764705882,-0.558823529,-0.5,-1,-0.897058824,-0.308823529,-0.691176471,-0.691176471,-0.5,-0.367647059,-0.367647059
C14,-0.308823529,-1,-0.897058824,-0.558823529,-0.5,0,-1,-1,-0.367647059,-0.691176471,-0.5,-0.367647059,-0.367647059
C15,-0.308823529,-1,-0.897058824,-0.558823529,-0.5,0,-1,-0.897058824,-0.367647059,-0.691176471,-0.5,-0.367647059,-0.367647059
C16,-0.308823529,-1,-0.5,-0.558823529,-0.617647059,0,-0.897058824,-0.897058824,-0.764705882,-0.691176471,-0.5,-0.558823529,-0.367647059
C17,-0.367647059,-1,-0.5,-0.764705882,-0.5,-1,-0.897058824,-0.897058824,-0.691176471,-0.691176471,-0.5,-0.367647059,-0.367647059
C18,-0.367647059,-0.897058824,-0.764705882,-0.764705882,-0.5,-1,-0.764705882,-0.308823529,-0.691176471,-0.691176471,-0.5,-0.367647059,-0.367647059
C20,-0.367647059,-1,-0.5,-0.764705882,-0.5,-1,-0.897058824,-0.897058824,-0.691176471,-0.691176471,-0.5,-0.764705882,-0.897058824
C21,-0.367647059,-1,-0.5,-1,-0.5,-1,0.411764706,-1,-0.691176471,0,0,-0.764705882,-0.897058824
C22,-0.367647059,-1,-0.5,-0.764705882,-0.617647059,0,-0.897058824,-0.897058824,-0.691176471,0,-1,-0.558823529,-0.897058824
C23,-0.367647059,-0.764705882,-0.5,-0.764705882,-0.617647059,-1,-0.897058824,-0.764705882,-0.691176471,-0.691176471,-1,-0.558823529,-0.897058824
C24,-0.367647059,-0.764705882,-0.5,-1,-0.617647059,0,-0.897058824,-0.764705882,-0.558823529,-0.691176471,-1,-0.897058824,-0.897058824
C25,-0.691176471,-0.764705882,-0.764705882,-0.235294118,-0.617647059,-1,-0.764705882,-0.764705882,-0.338235294,-0.691176471,-1,-0.897058824,-0.897058824
C26,-0.764705882,-0.764705882,-0.764705882,-1,-0.338235294,-1,-0.764705882,-0.764705882,-1,0,-1,-1,-0.897058824
C27,-0.691176471,-0.764705882,-0.897058824,-0.764705882,0,-1,-0.764705882,-0.764705882,-0.338235294,-0.691176471,-1,-0.897058824,-0.897058824
